Malls,State
One Utama,Selangor
Mitsui Outlet Park KLIA Sepang,Selangor
Sunway Pyramid,Selangor
CITTA Mall,Selangor
Paradigm Mall,Selangor
IOI Mall Puchong,Selangor
Setia City Mall,Selangor
NU Empire,Selangor
Star Avenue Lifestyle Mall,Selangor
Da Men Mall,Selangor
Sanctuary Mall,Selangor
The Mines Shopping Mall,Selangor
SACC Mall,Selangor
Ikano Power Centre,Selangor
Central i-City,Selangor
eCurve,Selangor
Empire Shopping Gallery,Selangor
Amcorp Mall,Selangor
Dataran Pahlawan Melaka Megamall,Malacca
Ocean Mall,Malacca
Mahkota Parade,Malacca
Hatten Square,Malacca
AEON MALL Bandaraya Melaka,Malacca
Freeport A'Famosa Outlet,Malacca
The Shore Shopping Gallery,Malacca
Palm Mall,Negeri Sembilan
Aeon Jusco Seremban,Negeri Sembilan
Seremban Parade,Negeri Sembilan
Terminal 1 Shopping Centre,Negeri Sembilan
Billion Shopping Center,Negeri Sembilan
Seremban Gateway,Negeri Sembilan
Oceanic Mall Port Dickson,Negeri Sembilan
Centerpoint Seremban,Negeri Sembilan
City Square JB & Komtar JBCC,Johor
Plaza Angsana,Johor
Plaza Pelangi,Johor
Perling Mall,Johor
IOI Mall  ,Johor
Aeon Jusco Tebrau City,Johor
Paradigm Mall,Johor
"The Mall, Mid Valley Southkey",Johor
Beletime Danga Bay,Johor
Sutera Mall Johor Bahru,Johor
K-Parc Shopping Mall Kangar,Perlis
Central Square,Kedah
Alor Setar Mall,Kedah
Langkawi Parade megamall,Kedah
Aman Central,Kedah
ÆON Mall Kota Bharu,Kelantan
ÆON Mall Klebang,Perak
ÆON Mall Kinta City,Perak
ÆON Midtown Falim Shopping Centre,Perak
Ipoh Parade Shopping Centre,Perak
Taiping Mall,Perak
Gurney Plaza,Penang
Queensbay Mall,Penang
Gurney Paragon Mall,Penang
1st Avenue Mall,Penang
Prangin Mall,Penang
Sunway Carnival Mall,Penang
Penang Times Square,Penang
AEON Seberang Prai City,Penang
Straits Quay Retail Marina,Penang
Mid Valley Megamall,WP Kuala Lumpur
The Gardens Mall ,WP Kuala Lumpur
Pavilion KL,WP Kuala Lumpur
MyTOWN KL,WP Kuala Lumpur
Suria KLCC,WP Kuala Lumpur
Starhill Gallery,WP Kuala Lumpur
Publika,WP Kuala Lumpur
Lot 10,WP Kuala Lumpur
NU Sentral,WP Kuala Lumpur
Pavilion Bukit Jalil,WP Kuala Lumpur
IOI City Mall,Putrajaya
Alamanda Putrajaya,Putrajaya
Bintang MegaMall,Sarawak
Tun Jugah Shopping Mall,Sarawak
Hills Shopping Mall,Sarawak
Suria Sabah Shopping Mall,Sarawak
Vivacity Megamall,Sarawak
The Spring Shopping Mall,Sarawak
Plaza Merdeka,Sarawak
City One Megamall Kuching,Sarawak
The Summer Shopping Mall,Sarawak
Boulevard Shopping Mall,Sarawak
Centre Point Sabah,Sabah
Suria Sabah Shopping Mall,Sabah
Imago Shopping Mall,Sabah
City Mall Shopping Centre,Sabah
Asia City Complex Kota Kinabalu,Sabah
Kompleks Karamunsing Shopping Mall,Sabah
1Borneo Hypermall Kota Kinabalu,Sabah
Oceanus Waterfront Mall,Sabah
Paragon Labuan,Labuan
Fiinancial Park Labuan Complex,Labuan
Labuan Times Square,Labuan
East Coast Mall,Pahang
Berjaya Megamall,Pahang
Kuantan Parade,Pahang
Bentong Vegamall,Pahang
First World Plaza,Pahang
Astaka Shopping Centre,Terengganu
Mesra Mall,Terengganu
Mydin Mall,Terengganu
Giant Mall,Terengganu
