State,City,Postcode
Penang,Ayer Itam,11500
Perlis,Arau,02600
Johor,Ayer Baloi,82100
Perak,Ayer Tawar,32400
Penang,Ayer Itam,11500
Wp Kuala Lumpur,Kuala Lumpur,50704
Johor,Ayer Baloi,82100
Pahang,Balok,26190
Johor,Ayer Baloi,82100
Sabah,Beaufort,89800
Perlis,Arau,02600
Perak,Ayer Tawar,32400
Kedah,Alor Setar,05538
Terengganu,Ajil,21810
Wp Kuala Lumpur,Kuala Lumpur,50928
Wp Kuala Lumpur,Kuala Lumpur,50910
Penang,Ayer Itam,11500
Perak,Ayer Tawar,32400
Terengganu,Ajil,21810
Wp Kuala Lumpur,Kuala Lumpur,50784
Sarawak,Asajaya,94600
Penang,Ayer Itam,11500
Wp Kuala Lumpur,Kuala Lumpur,50714
Terengganu,Ajil,21800
Sarawak,Asajaya,94600
Kedah,Alor Setar,05612
Wp Kuala Lumpur,Kuala Lumpur,50915
Johor,Ayer Baloi,82100
Perak,Ayer Tawar,32400
Penang,Ayer Itam,11500
Pahang,Balok,26100
Wp Kuala Lumpur,Kuala Lumpur,50928
Kedah,Alor Setar,05990
Johor,Ayer Baloi,82100
Sarawak,Asajaya,94600
Johor,Ayer Baloi,82100
Sabah,Beaufort,89809
Kedah,Alor Setar,05538
Selangor,Ampang,68000
Johor,Ayer Baloi,82100
Selangor,Ampang,68000
Wp Kuala Lumpur,Kuala Lumpur,50620
Johor,Ayer Baloi,82100
Perlis,Arau,02607
Selangor,Ampang,68000
Kelantan,Ayer Lanas,17700
Negeri Sembilan,Bahau,72100
Perlis,Arau,02600
Wp Kuala Lumpur,Kuala Lumpur,50640
Sabah,Beaufort,89809
Penang,Ayer Itam,11500
Kelantan,Ayer Lanas,17700
Pahang,Balok,26080
Perak,Ayer Tawar,32400
Perak,Ayer Tawar,32400
Kedah,Alor Setar,05580
Melaka,Alor Gajah,78009
Terengganu,Ajil,21800
Negeri Sembilan,Bahau,72100
Selangor,Ampang,68000
Sarawak,Asajaya,94600
Wp Kuala Lumpur,Kuala Lumpur,50642
Pahang,Balok,26080
Penang,Ayer Itam,11500
Wp Kuala Lumpur,Kuala Lumpur,50919
Selangor,Ampang,68000
Johor,Ayer Baloi,82100
Selangor,Ampang,68000
Wp Kuala Lumpur,Kuala Lumpur,55100
Sabah,Beaufort,89807
Wp Kuala Lumpur,Kuala Lumpur,54050
Selangor,Ampang,68000
Kedah,Alor Setar,05632
Terengganu,Ajil,21820
Perlis,Arau,02609
Johor,Ayer Baloi,82100
Perak,Ayer Tawar,32400
Melaka,Alor Gajah,78009
Wp Kuala Lumpur,Kuala Lumpur,50712
Wp Kuala Lumpur,Kuala Lumpur,50420
Penang,Ayer Itam,11500
Penang,Ayer Itam,11500
Wp Kuala Lumpur,Kuala Lumpur,50530
Johor,Ayer Baloi,82100
Sarawak,Asajaya,94600
Negeri Sembilan,Bahau,72107
Perak,Ayer Tawar,32400
Pahang,Balok,26190
Johor,Ayer Baloi,82100
Sabah,Beaufort,89807
Wp Kuala Lumpur,Kuala Lumpur,51000
Kelantan,Ayer Lanas,17700
Melaka,Alor Gajah,78000
Perak,Ayer Tawar,32400
Wp Kuala Lumpur,Kuala Lumpur,50907
