name,postcode,state
Ayer Baloi,['82100'],Johor
Ayer Hitam,['86100'],Johor
Ayer Tawar 2,['81920'],Johor
Bandar Penawar,"['81930', '81960']",Johor
Bandar Tenggara,['81440'],Johor
Batu Anam,['85100'],Johor
Batu Pahat,"['83000', '83010', '83020', '83030', '83040', '83050', '86400']",Johor
Bekok,['86500'],Johor
Benut,['82200'],Johor
Bukit Gambir,['84800'],Johor
Bukit Pasir,['84300'],Johor
Chaah,['85400'],Johor
Endau,"['86900', '86999']",Johor
Gelang Patah,"['81550', '81560']",Johor
Gerisek,"['84700', '84710']",Johor
Gugusan Taib Andak,['81450'],Johor
Jementah,"['85200', '85210']",Johor
Johor Bahru,"['80000', '80050', '80100', '80110', '80150', '80200', '80250', '80300', '80350', '80400', '80500', '80502', '80503', '80504', '80505', '80506', '80508', '80514', '80516', '80517', '80518', '80519', '80520', '80529', '80530', '80532', '80534', '80536', '80538', '80540', '80542', '80546', '80548', '80550', '80552', '80558', '80560', '80564', '80568', '80570', '80576', '80578', '80584', '80586', '80590', '80592', '80594', '80596', '80600', '80604', '80606', '80608', '80610', '80612', '80620', '80622', '80626', '80628', '80630', '80632', '80644', '80646', '80648', '80658', '80660', '80662', '80664', '80668', '80670', '80672', '80673', '80676', '80700', '80710', '80720', '80730', '80750', '80800', '80900', '80902', '80904', '80906', '80908', '80988', '80990', '81100', '81110', '81120', '81200', '81250', '81300', '81310']",Johor
Kahang,['86700'],Johor
Kluang,"['86000', '86007']",Johor
Kota Tinggi,"['81900', '81907', '81910']",Johor
Kukup,['82300'],Johor
Kulai,"['81000', '81010', '81020', '81030', '81040', '81050']",Johor
Labis,['85300'],Johor
Layang-Layang,['81850'],Johor
Masai,"['81750', '81760']",Johor
Mersing,"['86800', '86810']",Johor
Muar,"['84000', '84007', '84010', '84020', '84030', '84040', '84050', '84100', '84200', '84300', '84410']",Johor
