Product,SKU,Past Items sold,Past Revenue,Past Orders,Past Status,Past Stock,Past Status enc,Predicted items sold 2024,Conversion rate,Predicted orders 2024,Price,Predicted revenue 2024,Predicted Inventory
LIP BOOSTER - WATERMELON,00597,2590,63270.9,2299,In stock,11,0,2827,0.8876447876447876,3184,27.521052631578947,77802,2847
LIP BOOSTER - STRAWBERRY,00602,2563,63768.9,2280,In stock,134,0,2806,0.889582520483808,3154,27.968815789473684,78480,2817
COLLAGEN SERUM FOUNDATION ALHA ALFA - MEDIUM,00608,1067,7435.1,1005,In stock,33,0,1178,0.9418931583880038,1250,7.3981094527363185,8714,1172
COLLAGEN SERUM FOUNDATION ALHA ALFA - LIGHT,00607,728,7135.7,690,In stock,41,0,813,0.9478021978021978,857,10.34159420289855,8407,800
LIP BOOSTER - MELON,00610,651,16209.9,587,In stock,177,0,720,0.901689708141321,798,27.614821124361157,19882,715
ROYAL PROPOLIS POWDER FOUNDATION - AA30 NATURAL BEIGE,00431,274,13717.1,259,In stock,22,0,332,0.9452554744525548,351,52.961776061776064,17583,300
ROYAL PROPOLIS POWDER FOUNDATION - AA20 MEDIUM LIGHT,00430,220,8266.2,210,In stock,4,0,261,0.9545454545454546,273,39.362857142857145,10273,241
LIP BOOSTER - CHERRY,00635,200,4980.0,181,Out of stock,0,1,220,0.905,243,27.513812154696133,6053,219
SUPER STAY FIXING POWDER - TRANSLUCENT,00565,160,4911.8,157,Out of stock,0,1,189,0.98125,192,31.285350318471338,5912,175
ROYAL PROPOLIS POWDER FOUNDATION - HD - HIGH DEFINITION OIL FREE POWDER,00428,130,7307.8,92,Out of stock,0,1,122,0.7076923076923077,172,79.43260869565218,9690,142
LONG LASTING MAKEUP SETTING SPRAY - REAL MATTE,00523,127,7247.9,125,In stock,88,0,161,0.984251968503937,163,57.9832,9335,139
ROYAL PROPOLIS FOUNDATION SPF 45 - LIGHT MEDIUM,00579,110,3844.5,104,In stock,19,0,127,0.9454545454545454,134,36.96634615384615,4694,120
ROYAL PROPOLIS FOUNDATION SPF 45 - HONEY,00580,95,5522.1,93,In stock,21,0,119,0.9789473684210528,121,59.377419354838715,7065,104
ROYAL PROPOLIS FOUNDATION SPF 45 - NATURAL,00581,94,3355.2,89,In stock,6,0,108,0.946808510638298,114,37.69887640449438,4071,103
ROYAL PROPOLIS POWDER FOUNDATION - AA10 LIGHT,00429,82,4252.9,81,In stock,68,0,101,0.9878048780487804,102,52.504938271604935,5302,89
MASCARA - Doll Eye,00623,72,698.6,72,In stock,28,0,82,1.0,82,9.702777777777778,795,78
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF40 FERVI,00572,66,3953.4,65,In stock,36,0,81,0.9848484848484848,82,60.821538461538466,4926,72
SUPER STAY FIXING POWDER - MINI - TRANSLUCENT,00587,65,1057.4,58,In stock,45,0,64,0.8923076923076924,71,18.231034482758623,1166,71
COLLAGEN SERUM FOUNDATION ALHA ALFA - DARK,00609,57,299.4,53,In stock,97,0,60,0.9298245614035088,64,5.649056603773585,338,62
