Product,SKU,Past Items sold,Conversion rate,Past Stock,Price,Past Revenue,Past Percentage increase of item sold,Past Percentage increase of revenue,Past Percentage increase of inventory orders,Predicted items sold 2025,Predicted inventory orders 2025,Predicted revenue 2025,Percentage increase of item sold 2025,Percentage increase of revenue 2025,Percentage increase of inventory orders 2025
LIP BOOSTER - WATERMELON,95,2827,0.89,3176,33.84,77799,9.15,22.96,38.15,3110,3494,105242,10.01,35.27,10.01
LIP BOOSTER - STRAWBERRY,96,2806,0.89,3152,34.42,78483,9.48,23.07,38.25,3087,3468,106254,10.01,35.38,10.03
COLLAGEN SERUM FOUNDATION ALHA ALFA - MEDIUM,98,1178,0.94,1253,8.67,8717,10.4,17.24,24.68,1295,1377,11227,9.93,28.79,9.9
COLLAGEN SERUM FOUNDATION ALHA ALFA - LIGHT,97,813,0.95,855,12.18,8406,11.68,17.8,23.91,895,942,10901,10.09,29.68,10.18
LIP BOOSTER - MELON,100,720,0.9,800,33.87,19879,10.6,22.63,36.29,792,880,26825,10.0,34.94,10.0
ROYAL PROPOLIS POWDER FOUNDATION - AA30 NATURAL BEIGE,19,332,0.95,349,67.88,17582,21.17,28.18,34.75,366,385,24844,10.24,41.3,10.32
ROYAL PROPOLIS POWDER FOUNDATION - AA20 MEDIUM LIGHT,18,261,0.95,274,48.91,10272,18.64,24.27,30.48,287,302,14037,9.96,36.65,10.22
LIP BOOSTER - CHERRY,105,220,0.9,244,33.44,6052,10.0,21.53,34.81,242,268,8092,10.0,33.71,9.84
SUPER STAY FIXING POWDER - TRANSLUCENT,67,189,0.98,192,37.66,5913,18.12,20.38,22.29,208,212,7833,10.05,32.47,10.42
ROYAL PROPOLIS POWDER FOUNDATION - HD - HIGH DEFINITION OIL FREE POWDER,16,122,0.71,171,105.33,9690,-6.15,32.6,85.87,134,188,14114,9.84,45.66,9.94
LONG LASTING MAKEUP SETTING SPRAY - REAL MATTE,35,161,0.98,164,74.67,9334,26.77,28.78,31.2,177,180,13216,9.94,41.59,9.76
ROYAL PROPOLIS FOUNDATION SPF 45 - LIGHT MEDIUM,79,127,0.95,133,45.14,4695,15.45,22.12,27.88,139,146,6274,9.45,33.63,9.77
ROYAL PROPOLIS FOUNDATION SPF 45 - HONEY,80,119,0.98,121,75.98,7066,25.26,27.96,30.11,131,133,9953,10.08,40.86,9.92
ROYAL PROPOLIS FOUNDATION SPF 45 - NATURAL,81,108,0.95,113,45.74,4071,14.89,21.33,26.97,119,125,5443,10.19,33.7,10.62
ROYAL PROPOLIS POWDER FOUNDATION - AA10 LIGHT,17,101,0.99,102,65.46,5302,23.17,24.67,25.93,111,112,7266,9.9,37.04,9.8
MASCARA - Doll Eye,103,82,1.0,82,11.04,795,13.89,13.8,13.89,90,90,993,9.76,24.91,9.76
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF40 FERVI,72,81,0.98,82,75.78,4926,22.73,24.6,26.15,90,91,6820,11.11,38.45,10.98
SUPER STAY FIXING POWDER - MINI - TRANSLUCENT,86,64,0.89,71,20.1,1166,-1.54,10.27,22.41,71,79,1427,10.94,22.38,11.27
COLLAGEN SERUM FOUNDATION ALHA ALFA - DARK,99,60,0.93,64,6.4,339,5.26,13.23,20.75,66,70,422,10.0,24.48,9.38
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF30 BLUEBELL,71,63,0.94,67,76.88,3921,16.67,23.51,31.37,70,74,5381,11.11,37.24,10.45
ALHA ALFA SUNSCREEN &amp; FOUNDATION - FAIR,26,65,0.98,66,63.56,3305,22.64,24.97,26.92,72,73,4576,10.77,38.46,10.61
LONG LASTING MAKEUP SETTING SPRAY - REAL GLOW,34,60,1.0,60,74.88,3594,25.0,25.0,25.0,66,66,4942,10.0,37.51,10.0
MASCARA - Dimensional,104,48,1.0,48,4.93,217,9.09,8.72,9.09,53,53,261,10.42,20.28,10.42
ROYAL PROPOLIS FOUNDATION SPF 45 - LIGHT,78,50,0.98,51,53.5,2247,16.28,19.06,21.43,55,56,2942,10.0,30.93,9.8
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF50 FICUS,73,47,1.0,47,72.18,2815,20.51,20.5,20.51,52,52,3753,10.64,33.32,10.64
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF20 AURI,70,47,1.0,47,72.18,2815,20.51,20.5,20.51,52,52,3753,10.64,33.32,10.64
ALHA ALFA FOGGY LIPS - JULIET,89,37,0.97,38,12.18,402,8.82,12.04,15.15,41,42,499,10.81,24.13,10.53
SUPER STAY FIXING POWDER - PINK,66,36,0.97,37,39.58,1306,5.88,9.02,12.12,39,40,1543,8.33,18.15,8.11
ALHA ALFA SUNSCREEN &amp; FOUNDATION - LIGHT,25,36,0.94,38,66.21,1920,16.13,24.12,31.03,39,41,2582,8.33,34.48,7.89
