Date,Orders,"Gross sales",Returns,Coupons,"Net sales",Taxes,Shipping,"Total sales"
"2023-10-26 00:00:00",12,917.70,0.00,0.00,917.70,0.00,100.00,1017.70
"2023-10-25 00:00:00",31,1664.70,0.00,0.00,1664.70,0.00,264.00,1928.70
"2023-10-24 00:00:00",11,803.00,0.00,0.00,803.00,0.00,96.00,899.00
"2023-10-23 00:00:00",16,867.50,0.00,0.00,867.50,0.00,136.00,1003.50
"2023-10-22 00:00:00",17,986.90,0.00,0.00,986.90,0.00,144.00,1130.90
"2023-10-21 00:00:00",17,1201.30,0.00,0.00,1201.30,0.00,140.00,1341.30
"2023-10-20 00:00:00",22,1241.20,0.00,0.00,1241.20,0.00,184.00,1425.20
"2023-10-19 00:00:00",19,1101.60,0.00,0.00,1101.60,0.00,160.00,1261.60
"2023-10-18 00:00:00",20,981.70,0.00,0.00,981.70,0.00,168.00,1149.70
"2023-10-17 00:00:00",12,653.50,0.00,0.00,653.50,0.00,100.00,753.50
"2023-10-16 00:00:00",11,473.40,0.00,0.00,473.40,0.00,92.00,565.40
"2023-10-15 00:00:00",25,1505.30,0.00,0.00,1505.30,0.00,212.00,1717.30
"2023-10-14 00:00:00",30,1515.20,0.00,0.00,1515.20,0.00,240.00,1755.20
"2023-10-13 00:00:00",29,1255.30,0.00,0.00,1255.30,0.00,236.00,1491.30
"2023-10-12 00:00:00",20,921.90,0.00,0.00,921.90,0.00,180.00,1101.90
"2023-10-11 00:00:00",29,1555.40,0.00,0.00,1555.40,0.00,236.00,1791.40
"2023-10-10 00:00:00",24,1430.70,0.00,0.00,1430.70,0.00,204.00,1634.70
"2023-10-09 00:00:00",15,1057.00,0.00,0.00,1057.00,0.00,120.00,1177.00
"2023-10-08 00:00:00",23,1401.10,0.00,0.00,1401.10,0.00,196.00,1597.10
"2023-10-07 00:00:00",20,1281.30,0.00,0.00,1281.30,0.00,164.00,1445.30
"2023-10-06 00:00:00",25,1280.70,0.00,0.00,1280.70,0.00,208.00,1488.70
"2023-10-05 00:00:00",24,1661.20,0.00,0.00,1661.20,0.00,196.00,1857.20
"2023-10-04 00:00:00",23,1306.50,0.00,0.00,1306.50,0.00,196.00,1502.50
