Date,Order #,N. Revenue (formatted),Status,Customer,Customer type,Product(s),Items sold,N. Revenue,State,Age,Gender,Product Count,Avg Revenue per Item,Interest,Probability of Interest,Viability of Monthly Subscription Plan
2023-10-26 14:50:17,16698.0,57.8,1,19,0,398,2.0,49.8,8,36,0,2.0,24.9,0,8.364460430091817e-07,0
2023-10-26 13:53:47,16697.0,32.9,1,1991,0,259,1.0,24.9,0,25,0,1.0,24.9,0,2.5618750268017708e-08,0
2023-10-26 13:04:17,16696.0,32.9,1,6993,0,259,1.0,24.9,4,31,0,1.0,24.9,0,2.5501545767500275e-08,0
2023-10-26 13:00:49,16695.0,82.7,1,1763,0,366,3.0,74.7,2,31,0,3.0,24.900000000000002,0,4.29153069443897e-06,0
2023-10-26 12:47:36,16694.0,32.9,1,6114,0,370,1.0,24.9,9,38,0,1.0,24.9,0,3.8494412462427195e-08,0
2023-10-26 12:11:47,16693.0,277.5,1,5020,0,70,5.0,269.5,9,37,0,5.0,53.9,0,0.031067885289490685,0
2023-10-26 11:54:23,16692.0,36.9,1,520,0,291,1.0,24.9,13,43,0,1.0,24.9,0,1.208996953727877e-08,0
2023-10-26 10:25:26,16691.0,117.8,0,3168,0,583,2.0,109.8,0,27,0,2.0,54.9,0,1.6566393537255565e-08,0
2023-10-26 08:51:47,16690.0,32.9,0,6004,0,370,1.0,24.9,5,33,0,1.0,24.9,0,3.307966942602935e-08,0
2023-10-26 08:36:04,16689.0,32.9,0,5653,0,370,1.0,24.9,0,25,0,1.0,24.9,0,5.6274841483902754e-08,0
2023-10-26 06:20:59,16688.0,137.8,0,6014,1,624,2.0,129.8,2,30,0,2.0,64.9,0,4.772694935099279e-09,0
2023-10-26 02:56:58,16687.0,142.7,0,4,0,116,3.0,134.7,6,34,1,3.0,44.9,0,7.913579135897836e-07,0
2023-10-26 01:04:57,16684.0,57.8,0,2415,0,271,2.0,49.8,0,25,0,2.0,24.9,0,5.506672168167382e-07,0
2023-10-25 23:30:57,16683.0,32.9,0,4188,0,370,1.0,24.9,2,30,0,1.0,24.9,0,1.9658634315439616e-08,0
2023-10-25 21:09:18,16681.0,32.9,0,1558,0,370,1.0,24.9,8,36,0,1.0,24.9,0,3.991376132404419e-08,0
2023-10-25 20:45:23,16680.0,32.9,0,2635,0,291,1.0,24.9,7,35,0,1.0,24.9,0,2.4132685396216953e-08,0
2023-10-25 20:24:34,16679.0,32.9,0,3794,0,370,1.0,24.9,2,30,0,1.0,24.9,0,1.9260238431180198e-08,0
2023-10-25 19:45:35,16678.0,57.8,0,94,0,316,2.0,49.8,7,35,0,2.0,24.9,0,4.7329914493212355e-07,0
2023-10-25 19:37:18,16677.0,71.9,0,6174,1,438,1.0,59.9,13,40,0,1.0,59.9,0,4.239668090730359e-11,0
2023-10-25 19:36:00,16676.0,57.8,0,3261,0,316,2.0,49.8,0,25,0,2.0,24.9,0,7.32566032428592e-07,0
2023-10-25 19:27:07,16675.0,57.8,0,6633,0,398,2.0,49.8,13,40,0,2.0,24.9,0,3.688934531542583e-06,0
2023-10-25 18:47:11,16674.0,36.9,0,6174,0,291,1.0,24.9,9,37,0,1.0,24.9,0,2.154885334415786e-08,0
2023-10-25 18:39:12,16673.0,32.9,0,1588,0,370,1.0,24.9,4,32,0,1.0,24.9,0,2.273255131897118e-08,0
2023-10-25 18:32:15,16672.0,107.6,0,6276,0,367,4.0,99.6,1,29,0,4.0,24.9,0,0.00014313494933932674,0
2023-10-25 18:03:44,16671.0,32.9,0,2057,0,370,1.0,24.9,14,44,0,1.0,24.9,0,4.149005087770868e-08,0
2023-10-25 17:49:52,16669.0,32.9,0,6124,0,259,1.0,24.9,4,32,0,1.0,24.9,0,1.6081531048641152e-08,0
2023-10-25 17:00:40,16668.0,82.7,0,2344,0,325,3.0,74.7,0,27,0,3.0,24.900000000000002,0,6.232017213963247e-06,0
2023-10-25 16:23:37,16666.0,202.6,0,7061,0,752,4.0,194.6,0,27,0,4.0,48.65,0,0.002405271326369194,0
2023-10-25 16:18:38,16665.0,32.9,0,3177,0,370,1.0,24.9,13,41,0,1.0,24.9,0,8.849398136987418e-08,0
2023-10-25 15:01:49,16664.0,57.8,0,3877,0,271,2.0,49.8,8,36,0,2.0,24.9,0,5.267490346543504e-07,0
2023-10-25 15:00:17,16663.0,61.8,0,1980,0,398,2.0,49.8,13,40,0,2.0,24.9,0,1.6029659358808253e-06,0
2023-10-25 14:45:25,16661.0,36.9,0,1440,0,370,1.0,24.9,9,38,0,1.0,24.9,0,1.6767881431312376e-08,0
2023-10-25 13:32:29,16660.0,57.8,0,3034,0,316,2.0,49.8,6,35,0,2.0,24.9,0,3.1711556613196385e-07,0
2023-10-25 13:02:26,16659.0,227.6,0,410,1,69,4.0,219.6,15,45,0,4.0,54.9,0,0.00011751183878984667,0
2023-10-25 12:35:12,16658.0,32.9,0,2119,0,370,1.0,24.9,5,33,0,1.0,24.9,0,2.7002027103477202e-08,0
2023-10-25 11:39:14,16653.0,32.9,0,3071,0,370,1.0,24.9,7,35,0,1.0,24.9,0,3.773058463582718e-08,0
2023-10-25 11:07:35,16652.0,82.8,0,941,0,301,2.0,74.8,13,41,0,2.0,37.4,0,1.7426829265267174e-07,0
2023-10-25 10:45:08,16649.0,127.8,0,2045,1,138,2.0,119.8,8,36,0,2.0,59.9,0,1.4209837110434097e-09,0
2023-10-25 09:21:17,16648.0,57.8,0,626,0,316,2.0,49.8,13,42,0,2.0,24.9,0,7.516688847726511e-07,0
2023-10-25 08:17:11,16646.0,57.8,0,5006,0,398,2.0,49.8,7,35,0,2.0,24.9,0,9.56028001337005e-07,0
2023-10-25 07:54:23,16645.0,32.9,0,1074,0,291,1.0,24.9,9,38,0,1.0,24.9,0,1.947587002224733e-08,0
