product_name,product_price
LIP BOOSTER,24.9
COLLAGEN SERUM FOUNDATION ALHA ALFA,49.9
SET DIMENSI ALHA ALFA,79.9
MAGIC GLOW LIP TREATMENT OIL,24.9
ROYAL PROPOLIS POWDER FOUNDATION,59.9
ROYAL PROPOLIS FOUNDATION SPF 45,69.9
ALHA ALFA SUNSCREEN & FOUNDATION,49.9
ALHA ALFA SKIN BOOSTER,49.9
SUPER STAY FIXING POWDER,59.9
LONG LASTING MAKEUP SETTING SPRAY,59.9
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35,49.9
SET XOXO,59.9
POCKET CAMOUFLAGE CREAM,49.9
BRIGHT BOOST MOISTURIZER FACE CREAM,59.9
SATIN STAY SPF30 & COMPACT POWDER,49.9
GLOW SKIN TINTED HIDRATOR,69.9
MASCARA,49.9
ALHA ALFA FOGGY LIPS,29.9
CENTELLA SKIN BOOSTER,69.9
ALHA ALFA CHEEKY MATTE POWDER BLUSH,49.9
ALHA ALFA BE YOU MATTE FOUNDATION,44.9
SUPER STAY FIXING POWDER – MINI,39.9
PREBIOTIC UV SUNSCREEN,49.9
GLOW GLITTER SETTING SPRAY,39.9
COMPACT POWDER & CUSHION FOUNDATION,69.9
ALHA ALFA BE YOU GLOW FOUNDATION,44.9
EID ALHA LIP MATTE SET,49.9
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION – MINI,39.9
CUSHION GLOW BLUSHER,50
PRESSED POWDER PALETTE,49.9
VELVET MATTE LIQUID LIP COLOR,49.9
ALHA ALFA TINTED BROW SHAPING WAX,49.9
ROYAL PROPOLIS FOUNDATION,49.9
ALHA ALFA LASHES PREMIUM COLLECTION,17
BRIGHTEN UP & HYDRATE SKINCARE DUO,89.9
LIP & COLOR MAGIC ERASER,39.9
FACIAL CLEANSER & MAKEUP REMOVER,49.9
